Dashboard,dashboard,
Statistics,statistics,
Debit Notes,debit_notes,
New Debit Note,debit_notes.new,
Credit Notes,credit_notes,
New Credit Note,credit_notes.new,
Receipts,receipts,
Return Receipt,receipts.return,
Invoices,invoices,
Return Invoice,invoices.return,
Payments,payments,
New Payment,payments.new,
Return Payment,payments.return,
Cash Receipts,cash_receipts,
New Cash Receipt,cash_receipts.new,
Return Cash Receipt,cash_receipts.return,
VOC,voc,
New VOC,voc.new,
Return VOC,voc.return,
Journal Vouchers,journal_vouchers,
New Journal Voucher,journal_vouchers.new,
Return Journal Voucher,journal_vouchers.return,
Accounts,accounts,
New Account,accounts.new,
Taxes,taxes,
New Tax,taxes.new,
Currencies,currencies,
Suppliers,suppliers,
New Supplier,suppliers.new,
Clients,clients,
New Client,clients.new,
Logs,logs,
Sales Orders,sales_orders,
New Sales Order,sales_orders.new,
Purchase Orders,purchase_orders,
New Purchase Orders,purchase_orders.new,
Backup,backup,
Export Database,backup.export,
Items,items,
New Item,items.new,
Profile,profile,
Users,users,
New User,users.new,
Statement Of Accounts,accounts.get_statement_of_accounts,
Trial Balance,accounts.get_trial_balance,
Track Item Serial Number,items.track_page,
Item Report,items.report_page,
